GSS_CODE,mean_uhi
E05000221,0.0644891250623342
E05000389,0.07089645116660125
E05000032,0.11391757444280037
E05000222,0.027098244325731238
E05000637,-0.04026107801630973
E05000154,-0.012544177333344272
E05000105,0.08831413797359534
E05000384,-0.0032187173497129455
E05000386,0.015739728764908128
E05000494,0.06602093390421707
E05000547,0.024398010457098867
E05000189,0.15302342187383544
E05000239,0.07550735182291542
E05000648,0.024975960913018097
E05000137,-0.08220501433891912
E05000549,0.0037075109175744654
E05000643,-0.026488400261001785
E05000318,-0.098635494029107
E05000387,0.021042539312703622
E05000117,-0.1482457602338656
E05000285,0.030548441981646628
E05000539,0.11333153381455295
E05000076,0.08875121838003773
E05000496,0.07979416908613632
E05000257,0.09981357821372909
E05000144,0.0015037124532462326
E05000485,0.130727193224525
E05000313,-0.08359037241144697
E05000338,0.005152865105024018
E05000514,0.07485937373456031
E05000323,-0.19729900399797246
E05000330,-0.13551330924945973
E05000088,0.05763203878371038
E05000160,-0.08973435848821355
E05000107,-0.08364076953736294
E05000092,0.14650677742636448
E05000087,0.018205951752244202
E05000217,0.03718792261137489
E05000082,0.08068703438472455
E05000510,0.001346347406991885
E05000559,-0.04220822318638748
E05000630,0.020822933689672113
E05000139,0.05939029912911584
E05000373,0.027353101281778713
E05000268,0.0935971230752498
E05000119,-0.08718181325137188
E05000110,-0.1120969688525249
E05000227,-0.028160961972870643
E05000077,0.011221454743515796
E05000440,0.06374257073334386
E05000307,-0.07818682994707328
E05000300,-0.017069208878589204
E05000593,-0.05894539770058759
E05000500,0.056319045950965214
E05000261,0.030687225710460227
E05000202,-0.009719081705395595
E05000405,-0.07535796293349845
E05000243,-0.006000227795232758
E05000321,-0.01895253719435782
E05000333,-0.0856131847909043
E05000075,-0.04250026392354114
E05000150,-0.08269803456682448
E05000162,-0.08477112682742095
E05000151,-0.019220157042000894
E05000156,-0.08496558495861217
E05000146,0.08733457433599709
E05000099,0.07770298699929547
E05000504,0.04408443498285971
E05000560,-0.027443405432743546
E05000556,0.002957202906744391
E05000264,0.09136610818399749
E05000250,0.045671592181297536
E05000128,0.004003285729728009
E05000413,-0.008117012610274433
E05000126,0.002163197841524655
E05000311,-0.0023770424415267694
E05000163,-0.008278028602050127
E05000127,-0.017497760459616936
E05000125,-0.011603788925233262
E05000327,-0.0016909625938742897
E05000053,0.06586908721256322
E05000360,0.04467560992332338
E05000058,-0.015429574462623843
E05000067,0.06531977857569506
E05000111,-0.09081122594080308
E05000072,-0.03897653085960827
E05000497,-0.0040108176275736864
E05000509,-0.04396199999146437
E05000196,-0.0659561321774647
E05000114,-0.047517513543096586
E05000286,-0.07100617239119267
E05000256,0.04314791589492577
E05000331,0.043226058949180704
E05000495,-0.05601353354818254
E05000625,0.005837069098919971
E05000575,-0.007796155174857047
E05000231,0.007835274731246667
E05000039,0.030504080351244883
E09000001,-0.013461701682975745
E05000152,-0.021859024985977034
E05000089,0.10022433841876059
E05000095,0.0660961001324021
E05000424,0.06750030115450102
E05000430,0.05679187496788886
E05000215,0.029970746613170954
E05000078,0.026449451063319314
E05000074,0.06791746550173172
E05000068,0.07610190096646632
E05000080,0.09297561768210892
E05000070,0.08268611786797583
E05000596,0.18264561167578883
E05000557,-0.0058727734574281105
E05000566,-0.0033162151216950975
E05000252,0.023686710774607052
E05000251,0.09324641509738513
E05000638,0.027133626948293566
E05000381,0.056922400586622734
E05000027,0.0734552926993021
E05000404,0.016067796568893185
E05000159,-0.03090393358132436
E05000106,-0.021961457068636205
E05000336,-0.04495494785807097
E05000291,-0.016324937903808123
E05000322,0.03042854170076277
E05000292,-0.017027252032408617
E05000096,0.017890133610064328
E05000050,-0.011186261265865253
E05000218,0.008469719478092188
E05000400,-0.04559049103691066
